Root Domain,company,Image Url 1,Link to Product Page,Sentence1,Sentence2,Model Number,job titles,Contact Email,Response
corzaeye.com,Corza Ophthalmology,https://corzaeye.com/media/catalog/product/i/n/instrument-case-double-aluminum-k9-2350-thumb.jpg,https://corzaeye.com/products/reusable-instruments/sterilization-cases,I was browsing through your site and came across one of your products: instrument case double aluminum,"That comes with an aluminum case, right?",,owner,customerservice.corzaeye@corza.com,customerservice.corzaeye@corza.com
topconhealthcare.com,Topcon Healthcare,https://topconhealthcare.com/wp-content/uploads/2020/07/signal_carrying_case_01-600x450-2501fcc.png,https://topconhealthcare.com/products/signal-handheld-retinal-camera/,I was browsing through your site and came across one of your products: signal handheld retinal camera,"That comes with a cut and sew bag, right?",,owner,support@topcon.com,support@topcon.com
amblersurgical.com,Ambler Surgical,https://amblersurgical.com/media/catalog/product/cache/1915224e6286dd321af22bd1f4d254ca/V/4/V4X6CASE.JPG,https://amblersurgical.com/v4x6case-volk-4x6-standard-case-holds-up-to-6-lenses,I was browsing through your site and came across one of your products: volk 4x6 standard legacy multi lens case,"That comes with foam inserts, right?",,owner,sales@amblersurgical.com,sales@amblersurgical.com
ibexeye.com,IBEX EYE,https://www.ibexeye.com/wp-content/uploads/ophthalmic-binocular-indirect-ophthalmoscopes-kit.jpg,https://www.ibexeye.com/ophthalmic-devices/binocular-indirect-ophthalmoscope/,I was browsing through your site and came across one of your products: ibex wireless led binocular indirect,"That comes with an aluminum case, right?",(model number: wired led bio ),owner,info@ibexeye.com,info@ibexeye.com
hongdeecorp.com,Hongdee,https://www.hongdeecorp.com/wp-content/uploads/2024/03/carrying-case-1.jpg,https://www.hongdeecorp.com/ophthalmoscope-and-retinoscope-set/,I was browsing through your site and came across one of your products: ophthalmoscope and retinoscope set,"That comes with foam inserts and possibly an aluminum case, right?","(model number: op-200, rp-200, pop-100 )",owner,contact@hongdeecorp.com,contact@hongdeecorp.com
guldenophthalmics.com,Gulden Ophthalmics,https://guldenophthalmics.com/wp-content/uploads/2024/06/11L1424-2.png,https://guldenophthalmics.com/product/prism-bar-case-bv-15-and-b16-sets/,I was browsing through your site and came across one of your products: horizontal and vertical prism bar set,"That comes with a case with foam inserts, right?",(model number: 11L14 ),owner,questions@guldenophthalmics.com,questions@guldenophthalmics.com
viewlightusa.com,Viewlight USA,https://viewlightusa.com/wp-content/uploads/2020/03/shipping_shop2.jpg,https://viewlightusa.com/shipping-delivery/,I was browsing through your site and came across one of your products: csoslitlamp,"That comes with foam inserts, right?",(model number: sl-9800 ),owner,customerservice@viewlightusa.com,customerservice@viewlightusa.com
deviceoptical.com,Device Optical,https://deviceoptical.com/wp-content/uploads/2024/10/9403.jpg,https://deviceoptical.com/product/inami-l-0940sd-portable-surgical-microscope/,I was browsing through your site and came across one of your products: inami l-0940sd portable surgical microscope,"That comes with foam inserts, right?",(model number: l-0940sd ),owner,info@deviceoptical.com,info@deviceoptical.com
shapeophthalmics.com,Shape Ophthalmics,https://shapeophthalmics.com/wp-content/uploads/2023/02/Spot-Vision-Screener-VS100S-B.jpeg,https://shapeophthalmics.com/product/spot-vision-screener/,I was browsing through your site and came across one of your products: spot vision screener,"That comes with a soft-sided case and foam inserts, right?",(model number: VS100S-B ),owner,contact email: safavi@shapeophthalmics.com,contact email: safavi@shapeophthalmics.com
tecfenmedical.com,Tecfen Medical,https://tecfenmedical.com/wp-content/uploads/2020/02/Postrefractive-premium-300x225-1-300x225.jpg,https://tecfenmedical.com/post-refractive-surgery-kits/,I was browsing through your site and came across one of your products: economy post refractive kit,"That comes with a soft-sided case, right?",(model number: TE-672X ),owner,info@tecfenmedical.com,info@tecfenmedical.com
veatchinstruments.com,Veatch Instruments,https://www.veatchinstruments.com/resize/Shared/Images/Product/Keeler-Indirect-Opthalmoscope-3-in-1-Carrying-Case/new_keeler_backpack_side_small.jpg?bw=1000&w=1000&bh=1000&h=1000,https://www.veatchinstruments.com/Keeler-Indirect-Soft-Case,I was browsing through your site and came across one of your products: keeler indirect soft case,"That comes with a soft-sided case, right?",,owner,No explicit generic contact email found on the website.,No explicit generic contact email found on the website.
innoviamedical.com,Innovia Medical,https://innoviamedical.com/wp-content/uploads/2022/03/IN-PIC-2034-D_XI_inst-scaled.jpg.webp,https://innoviamedical.com/product/instrusafe-xl-transport-container-with-drain-and-lifting-tray/,I was browsing through your site and came across one of your products: instructsafe xl transport container with drain and lifting tray,"That comes with plastic cases, right?",(model number: IN-PIC-20-D-LT ),owner,tax@innoviamedical.com,tax@innoviamedical.com
mymedic.com,My Medic,http://mymedic.com/cdn/shop/products/myfak-hard-case-3-4_1200x1200.png?v=1718726314,https://mymedic.com/products/myfak-waterproof-first-aid-kit,I was browsing through your site and came across one of your products: myfak™ pro | waterproof,"That comes with plastic cases, right?",(model number: MM-KIT-MFK-905-PRO-RED ),owner,ouch@mymedic.com,ouch@mymedic.com
elitefirstaidinc.com,Elite First Aid,https://elitefirstaidinc.com/wp-content/uploads/2020/02/20180705_101613.png,https://elitefirstaidinc.com/shop/general-first-aid-kit/general-purpose-first-aid-kit-od/,I was browsing through your site and came across one of your products: general purpose first aid kit – elite first aid – olive drab green – ifak,"That comes with a plastic case, right?",(model number: fa101 ),owner,Sales@elitefirstaidinc.com,Sales@elitefirstaidinc.com
survivalfirstaidkits.com,SURVIVAL,https://survivalfirstaidkits.com/cdn/shop/files/4WD-2022_grande.jpg?v=1689219870,https://survivalfirstaidkits.com/products/4wd-first-aid-bundle,I was browsing through your site and came across one of your products: 4wd bundle,"That comes with a soft-sided case, right?",(model number: 4wd ),owner,sales@survival.net.au,sales@survival.net.au
safeguardmedical.com,Safeguard Medical,https://safeguardmedical.com/app/uploads/2022/05/poolside_O2_rescue_set_hard_case.jpg,https://safeguardmedical.com/products/medical-bags-mojo/poolside-oxygen-rescue-set-w-hard-case/,I was browsing through your site and came across one of your products: poolside oxygen rescue set w/ hard case,"That comes with plastic case, right?",(model number: 24-202 ),owner,info@safeguardmedical.com,info@safeguardmedical.com
medaire.com,MedAire,https://www.medaire.com/hubfs/Yachting/DAK%20NO%20BG.png?width=,https://www.medaire.com/yachts/diagnostics,I was browsing through your site and came across one of your products: corpuls3st,"That comes with foam inserts, right?",,owner,info@medaire.com,info@medaire.com
healthfirst.com,HealthFirst,https://www.healthfirst.com/wp-content/uploads/2024/08/STAT-KIT-750-AI-Outer-Kit.png,https://www.healthfirst.com/,I was browsing through your site and came across one of your products: stat kit® sm7,"That comes with a plastic case, right?",(model number: sm7 ),owner,serialization@healthfirst.com,serialization@healthfirst.com
firstaidonly.com,First Aid Only,http://firstaidonly.com/cdn/shop/files/25-person-first-aid-kit-plastic-case-with-dividers-771.jpg?v=1732565419,https://firstaidonly.com/products/25-person-first-aid-kit-plastic-case-with-dividers,"I was browsing through your site and came across one of your products: 25 person first aid kit, plastic case with dividers","That comes with a plastic case, right?",(model number: 223-U/FAO ),owner,info@stagheaddesigns.com,info@stagheaddesigns.com
